,route,neighbourhood,sublocality,administrative_area,lat,long
2231,East 228th Street,East Bronx,East Bronx,Bronx County,40.8904909,-73.8606171
2232,92nd Street,Flushing,Flushing,Queens County,40.7689418,-73.8785452
2233,113th Road,Jamaica,Jamaica,Queens County,40.6987,-73.761794
2234,42nd Avenue,Bayside,Bayside,Queens County,40.7624173,-73.7710902
2235,166th Street,South Jamaica,South Jamaica,Queens County,40.6935674,-73.7855565
2236,264th Street,Floral Park,Floral Park,Queens County,40.7367436,-73.7039037
2237,Beach 125th Street,Rockaway Park,Rockaway Park,Queens County,40.5781241,-73.8449946
2238,North Pine Terrace,Woodrow,Woodrow,Richmond County,40.5395578,-74.1795806
2239,Beach 60th Street,Arverne,Arverne,Queens County,40.5894946,-73.7896353
2240,145th Drive,Jamaica,Jamaica,Queens County,40.6632412,-73.7625294
2241,Hylan Boulevard,Great Kills,Great Kills,Richmond County,40.5463363,-74.1420026
2242,3rd Avenue,Gowanus,Gowanus,Kings County,40.6768411,-73.9867935
2243,229th Street,Jamaica,Jamaica,Queens County,40.6702491,-73.7454183
2244,80th Street,East Elmhurst,East Elmhurst,Queens County,40.7553599,-73.88722
2245,East 28th Street,Midwood,Midwood,Kings County,40.6145816,-73.9463149
2246,East 74th Street,,Manhattan,New York County,40.7696861,-73.9557104
2247,East 79th Street,,Manhattan,New York County,40.776763,-73.9625093
2248,Huntington Street,Carroll Gardens,Carroll Gardens,Kings County,40.6763366,-74.0001966
2249,8 Street,New Dorp,New Dorp,Richmond County,40.5708089,-74.1179169
2250,West 75th Street,,Manhattan,New York County,40.7813792,-73.9824979
2251,100th Drive,Jamaica,Jamaica,Queens County,40.7146332,-73.7305803
2252,62nd Drive,Rego Park,Rego Park,Queens County,40.7329909,-73.8586242
2253,West 96th Street,,Manhattan,New York County,40.7920657,-73.9663587
2254,81st Street,Flushing,Flushing,Queens County,40.7701118,-73.8892017
2255,62nd Drive,Flushing,Flushing,Queens County,40.7367847,-73.8477757
2256,West 64th Street,,Manhattan,New York County,40.7717467,-73.9805466
2257,Shore Parkway,Bath Beach,Bath Beach,Kings County,40.6033288,-74.0160805
2258,West 127th Street,,Manhattan,New York County,40.8080535,-73.9426066
2259,15th Street,Gowanus,Gowanus,Kings County,40.6676042,-73.9931265
2260,Shore Road,Bay Ridge,Bay Ridge,Kings County,40.6339937,-74.0363466
2261,East 3rd Street,,Manhattan,New York County,40.7211983,-73.9787559
2262,248th Street,Flushing,Flushing,Queens County,40.7696159,-73.7403605
2263,West 77th Street,,Manhattan,New York County,40.7813836,-73.9776937
2264,East 56th Street,,Manhattan,New York County,40.7579677,-73.9636757
2265,Jones Street,Bulls Head,Bulls Head,Richmond County,40.6059609,-74.1644799
2266,West 5th Street,Coney Island,Coney Island,Kings County,40.5777691,-73.9719866
2267,Madison Avenue,,Manhattan,New York County,40.7766637,-73.9615947
2268,East 18th Street,Homecrest,Homecrest,Kings County,40.6079619,-73.9549426
2269,West 122nd Street,,Manhattan,New York County,40.807581,-73.9505281
2270,Greencroft Lane,Great Kills,Great Kills,Richmond County,40.5469948,-74.1413764
2271,East 26th Street,Madison,Madison,Kings County,40.6042182,-73.946797
2272,West 18th Street,,Manhattan,New York County,40.7412267,-73.9987741
2273,Cypress Avenue,Sunnyside,Sunnyside,Richmond County,40.613153,-74.1076394
2274,3rd Avenue,,Manhattan,New York County,40.7822235,-73.9509367
2275,Grand Street,,Manhattan,New York County,40.7142822,-73.9792183
2276,Cromwell Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5883038,-74.0928759
2277,Hylan Boulevard,Rosebank,Rosebank,Richmond County,40.6151849,-74.0646359
2278,Francis Lewis Boulevard,Jamaica,Jamaica,Queens County,40.7123648,-73.7530514
2279,Midland Avenue,Midland Beach,Midland Beach,Richmond County,40.5741868,-74.0960192
2280,East 37th Street,,Manhattan,New York County,40.7478487,-73.9775903
2281,Tudor Road,Jamaica,Jamaica,Queens County,40.721482,-73.7883218
2282,Saunders Street,Rego Park,Rego Park,Queens County,40.7286188,-73.8616623
2283,56th Avenue,Elmhurst,Elmhurst,Queens County,40.7365158,-73.8687964
2284,Kingsbridge Terrace,West Bronx,West Bronx,Bronx County,40.8760983,-73.9021193
2285,Pennsylvania Avenue,East New York,East New York,Kings County,40.666792,-73.894205
2286,East 86th Street,Canarsie,Canarsie,Kings County,40.6344613,-73.9042326
2287,Senator Street,Bay Ridge,Bay Ridge,Kings County,40.6378136,-74.0266176
2288,Turneur Avenue,East Bronx,East Bronx,Bronx County,40.8163884,-73.8461253
2289,Cherry Avenue,Flushing,Flushing,Queens County,40.75467,-73.821996
2290,Walker Street,Port Richmond,Port Richmond,Richmond County,40.6302304,-74.142966
2291,East 84th Street,Canarsie,Canarsie,Kings County,40.6370243,-73.909613
2292,Lincoln Avenue,Midland Beach,Midland Beach,Richmond County,40.579062,-74.1076165
2293,Nixon Avenue,Mid Island,Mid Island,Richmond County,40.6321382,-74.0806123
2294,Alstyne Avenue,Flushing,Flushing,Queens County,40.7431111,-73.8574241
2295,Weirfield Street,Bushwick,Bushwick,Kings County,40.6908422,-73.9117096
2296,Raritan Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5880538,-74.0858781
2297,Hamilton Avenue,Mid Island,Mid Island,Richmond County,40.6445045,-74.0818972
2298,East 63rd Street,,Manhattan,New York County,40.7659809,-73.9689839
2299,West 83rd Street,,Manhattan,New York County,40.783637,-73.9719146
2300,East 2nd Street,,Manhattan,New York County,40.720539,-73.979335
2301,Adams Street,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.697478,-73.988335
2302,Arlington Avenue,Cypress Hills,Cypress Hills,Kings County,40.6800398,-73.8914993
2303,West 45th Street,,Manhattan,New York County,40.7563378,-73.982217
2304,45th Street,Long Island City,Long Island City,Queens County,40.7580197,-73.9140215
2305,Richmond Road,Todt Hill,Todt Hill,Richmond County,40.585661,-74.1059417
2306,81st Street,Flushing,Flushing,Queens County,40.7547282,-73.8859706
2307,East 161st Street,Woodstock,Woodstock,Bronx County,40.8194513,-73.9001792
2308,Juno Street,Forest Hills,Forest Hills,Queens County,40.7155199,-73.8530199
2309,70th Street,Woodside,Woodside,Queens County,40.7429826,-73.8945462
2310,Bennett Avenue,,Manhattan,New York County,40.8536742,-73.9347275
2311,Lovell Avenue,New Springville,New Springville,Richmond County,40.5922258,-74.1508322
2312,Fteley Avenue,East Bronx,East Bronx,Bronx County,40.8236783,-73.8705222
2313,Brightwater Court,Brighton Beach,Brighton Beach,Kings County,40.5759986,-73.960785
2314,East 76th Street,,Manhattan,New York County,40.7747817,-73.9639595
2315,268th Street,Glen Oaks,Glen Oaks,Queens County,40.7492036,-73.7045081
2316,Bancroft Avenue,Midland Beach,Midland Beach,Richmond County,40.5789553,-74.1138794
2317,East 118th Street,,Manhattan,New York County,40.7983883,-73.937888
2318,Autumn Avenue,East New York,East New York,Kings County,40.6713641,-73.8673475
2319,66th Road,Flushing,Flushing,Queens County,40.7142473,-73.8830471
2320,Powers Street,Williamsburg,Williamsburg,Kings County,40.7118832,-73.947991
2321,73rd Street,Jackson Heights,Jackson Heights,Queens County,40.7479556,-73.8929488
2322,Ocean Parkway,Brighton Beach,Brighton Beach,Kings County,40.5811062,-73.966749
2323,West End Avenue,,Manhattan,New York County,40.7975649,-73.9720384
2324,East 70th Street,,Manhattan,New York County,40.7694487,-73.9634625
2325,East 67th Street,Mill Basin,Mill Basin,Kings County,40.6184347,-73.9113421
2326,4th Avenue,Park Slope,Park Slope,Kings County,40.6655513,-73.9922171
2327,Ocean Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.5874249,-73.9487987
2328,East 131st Street,,Manhattan,New York County,40.8101633,-73.9387972
2329,164th Avenue,Jamaica,Jamaica,Queens County,40.6500222,-73.844778
2330,,Ditmars Steinway,Queens County,Queens County,40.7753572,-73.9085482
2331,Hunter Avenue,Midland Beach,Midland Beach,Richmond County,40.5802397,-74.1018122
2332,100th Street,Flushing,Flushing,Queens County,40.7600366,-73.8692081
2333,Amboy Road,Tottenville,Tottenville,Richmond County,40.5103369,-74.2424867
2334,,,Manhattan,New York County,40.743373,-73.983626
2335,Bridge Street,Vinegar Hill,Vinegar Hill,Kings County,40.7032131,-73.9845345
2336,Lester Street,Castleton Corners,Castleton Corners,Richmond County,40.6105648,-74.1237991
2337,Hollywood Avenue,East Bronx,East Bronx,Bronx County,40.8166622,-73.8139448
2338,East 57th Street,,Manhattan,New York County,40.7588081,-73.9647057
2339,Bay 10th Street,Bath Beach,Bath Beach,Kings County,40.608367,-74.0112145
2340,West 143rd Street,,Manhattan,New York County,40.8211582,-73.9445475
2341,4th Avenue,Sunset Park,Sunset Park,Kings County,40.646643,-74.011966
2342,East 82nd Street,,Manhattan,New York County,40.7737792,-73.9495867
2343,East 44th Street,,Manhattan,New York County,40.7518502,-73.9725168
2344,Bedford Avenue,Williamsburg,Williamsburg,Kings County,40.7121147,-73.9626871
2345,Alderton Street,Rego Park,Rego Park,Queens County,40.720847,-73.858929
2346,Piedmont Avenue,Concord,Concord,Richmond County,40.6038744,-74.0739123
2347,West 90th Street,,Manhattan,New York County,40.792004,-73.9767816
2348,Bay Ridge Avenue,Bensonhurst,Bensonhurst,Kings County,40.6184547,-73.9949244
2349,Lawton Avenue,East Bronx,East Bronx,Bronx County,40.8181427,-73.8105454
2350,Ocean Avenue,Midwood,Midwood,Kings County,40.611469,-73.954103
2351,Yellowstone Boulevard,Forest Hills,Forest Hills,Queens County,40.7284499,-73.8492399
2352,East 239th Street,East Bronx,East Bronx,Bronx County,40.8998618,-73.852221
2353,Brighton 14th Street,Brighton Beach,Brighton Beach,Kings County,40.578698,-73.9551566
2354,Broadway,,Manhattan,New York County,40.7227148,-73.9993678
2355,Jewel Avenue,Flushing,Flushing,Queens County,40.7267616,-73.8294609
2356,Clifton Avenue,Rosebank,Rosebank,Richmond County,40.6100159,-74.0754726
2357,75th Avenue,Flushing,Flushing,Queens County,40.7264779,-73.8093514
2358,Van Siclen Avenue,East New York,East New York,Kings County,40.6651608,-73.8881575
2359,Rockland Avenue,New Springville,New Springville,Richmond County,40.5945609,-74.1596635
2360,59th Avenue,Flushing,Flushing,Queens County,40.7416665,-73.8173924
2361,West 81st Street,,Manhattan,New York County,40.7847793,-73.9778528
2362,26th Avenue,Flushing,Flushing,Queens County,40.7741978,-73.8256676
2363,Saultell Avenue,Flushing,Flushing,Queens County,40.7398873,-73.8506134
2364,48th Street,Long Island City,Long Island City,Queens County,40.757489,-73.9116062
2365,West 58th Street,,Manhattan,New York County,40.7688045,-73.9862514
2366,103rd Avenue,South Richmond Hill,South Richmond Hill,Queens County,40.6899814,-73.8185297
2367,Victor Street,Van Nest,Van Nest,Bronx County,40.8462523,-73.8671523
2368,145th Street,Jamaica,Jamaica,Queens County,40.6762428,-73.7945184
2369,West 98th Street,,Manhattan,New York County,40.7957436,-73.9699861
2370,71st Street,Bensonhurst,Bensonhurst,Kings County,40.6180243,-73.9971092
2371,Webster Avenue,Kensington,Kensington,Kings County,40.6339914,-73.9689071
2372,Herkimer Street,Ocean Hill,Ocean Hill,Kings County,40.6781645,-73.9185084
2373,Van Nostrand Court,Flushing,Flushing,Queens County,40.7714035,-73.733393
2374,Baltic Street,Park Slope,Park Slope,Kings County,40.6799762,-73.9787904
2375,Grand Central Parkway,Glen Oaks,Glen Oaks,Queens County,40.7568337,-73.715194
2376,Bell Boulevard,Bayside,Bayside,Queens County,40.7877465,-73.7810708
2377,Astoria Boulevard North,Astoria,Astoria,Queens County,40.7691484,-73.9073703
2378,Court Square West,Long Island City,Long Island City,Queens County,40.7478785,-73.9444755
2379,142nd Street,Jamaica,Jamaica,Queens County,40.6779035,-73.799284
2380,Oxford Street,Manhattan Beach,Manhattan Beach,Kings County,40.5799535,-73.9383472
2381,Avenue K,Canarsie,Canarsie,Kings County,40.64539,-73.8897652
2382,Remsen Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.6946221,-73.9969945
2383,Mayfair Drive North,Mill Basin,Mill Basin,Kings County,40.6115517,-73.9061979
2384,East 223rd Street,East Bronx,East Bronx,Bronx County,40.8850441,-73.8562999
2385,60th Avenue,Corona,Corona,Queens County,40.736926,-73.8577614
2386,Ridge Boulevard,Bay Ridge,Bay Ridge,Kings County,40.6337679,-74.0305471
2387,Mackenzie Street,Manhattan Beach,Manhattan Beach,Kings County,40.5787747,-73.9401956
2388,Hegeman Avenue,East New York,East New York,Kings County,40.6678086,-73.8739629
2389,Beverley Road,Little Caribbean,Little Caribbean,Kings County,40.6463635,-73.9325263
2390,Northern Boulevard,Flushing,Flushing,Queens County,40.7654814,-73.8178731
2391,,Fort Hamilton,Fort Hamilton,Kings County,40.6163434,-74.0377889
2392,Saint Marks Avenue,Crown Heights,Crown Heights,Kings County,40.6749628,-73.9401841
2393,Hart Boulevard,West Brighton,West Brighton,Richmond County,40.6299335,-74.0999243
2394,Center Boulevard,Long Island City,Long Island City,Queens County,40.7465758,-73.9569744
2395,Beaver Street,Bushwick,Bushwick,Kings County,40.699914,-73.936622
2396,Henry Hudson Parkway,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8819273,-73.9172822
2397,Sanford Avenue,Flushing,Flushing,Queens County,40.7560001,-73.8293002
2398,Defoe Street,Jamaica,Jamaica,Queens County,40.681047,-73.754428
2399,Westchester Avenue,Foxhurst,Foxhurst,Bronx County,40.8245968,-73.8898403
2400,66th Street,Woodside,Woodside,Queens County,40.7436792,-73.8983202
2401,Grant Avenue,Concourse Village,Concourse Village,Bronx County,40.8344217,-73.914718
2402,5th Avenue,,Manhattan,New York County,40.8093495,-73.9398627
2403,East 86th Street,,Manhattan,New York County,40.7770634,-73.9522998
2404,West 186th Street,,Manhattan,New York County,40.8535911,-73.9359601
2405,Kings Highway,Gravesend,Gravesend,Kings County,40.604365,-73.9757485
2406,Thompson Street,,Manhattan,New York County,40.7241044,-74.0035529
2407,Beaumont Street,Manhattan Beach,Manhattan Beach,Kings County,40.5762337,-73.9511136
2408,63rd Street,Bensonhurst,Bensonhurst,Kings County,40.6240315,-73.9954118
2409,Essex Street,,Manhattan,New York County,40.7158959,-73.989796
2410,Glenmore Avenue,East New York,East New York,Kings County,40.675444,-73.8823121
2411,East 7th Street,Kensington,Kensington,Kings County,40.6372695,-73.9712947
2412,199th Street,Jamaica,Jamaica,Queens County,40.7052223,-73.7583006
2413,Bogota Street,New Springville,New Springville,Richmond County,40.5863749,-74.1470603
2414,East 73rd Street,,Manhattan,New York County,40.772751,-73.9650884
2415,East End Avenue,,Manhattan,New York County,40.7766673,-73.9439269
2416,Lexington Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6899365,-73.9294828
2417,Dahill Road,Kensington,Kensington,Kings County,40.646116,-73.98134
2418,West 14th Street,,Manhattan,New York County,40.7375173,-73.9979625
2419,East 11th Street,,Manhattan,New York County,40.7308571,-73.9878596
2420,79th Street,Flushing,Flushing,Queens County,40.7259203,-73.8814296
2421,West 17th Street,,Manhattan,New York County,40.7435613,-74.0063336
2422,Bay 13th Street,Bath Beach,Bath Beach,Kings County,40.6045606,-74.0114555
2423,Troy Avenue,Flatlands,Flatlands,Kings County,40.6283989,-73.9334448
2424,Charles Street,,Manhattan,New York County,40.7345653,-74.0041732
2425,East 182nd Street,Belmont,Belmont,Bronx County,40.8536129,-73.8933593
2426,Montauk Avenue,East New York,East New York,Kings County,40.6754664,-73.8780744
2427,East 237th Street,East Bronx,East Bronx,Bronx County,40.897885,-73.8562199
2428,East 89th Street,Canarsie,Canarsie,Kings County,40.6484284,-73.9166783
2429,Bedford Avenue,Midland Beach,Midland Beach,Richmond County,40.5821761,-74.1078688
2430,East 96th Street,,Manhattan,New York County,40.7850141,-73.9481639
2431,East 81st Street,,Manhattan,New York County,40.7777833,-73.962008
2432,33rd Street,Astoria,Astoria,Queens County,40.7592629,-73.9257407
2433,East 6th Street,,Manhattan,New York County,40.7241883,-73.9804574
2434,Eastern Parkway,Crown Heights,Crown Heights,Kings County,40.671881,-73.961562
2435,Brady Avenue,East Bronx,East Bronx,Bronx County,40.8522362,-73.8655005
2436,144th Street,South Ozone Park,South Ozone Park,Queens County,40.682563,-73.799077
2437,Russell Street,Greenpoint,Greenpoint,Kings County,40.7248276,-73.9446616
2438,,,New York,New York County,40.7237571,-74.0021582
2439,Clifton Place,Clinton Hill,Clinton Hill,Kings County,40.6877385,-73.9618932
2440,Gordon Street,Clifton,Clifton,Richmond County,40.6219621,-74.0832854
2441,Waring Avenue,Pelham Gardens,Pelham Gardens,Bronx County,40.8611669,-73.8467192
2442,Covert Street,Bushwick,Bushwick,Kings County,40.6898884,-73.9085265
2443,Westminster Road,Flatbush,Flatbush,Kings County,40.6467032,-73.9685896
2444,Crescent Street,Astoria,Astoria,Queens County,40.7642499,-73.92761
2445,Nautilus Street,Shore Acres,Shore Acres,Richmond County,40.6104417,-74.0628522
2446,104th Street,Flushing,Flushing,Queens County,40.7462947,-73.8595834
2447,College Point Boulevard,Flushing,Flushing,Queens County,40.7573108,-73.8341865
2448,Roosevelt Avenue,Jackson Heights,Jackson Heights,Queens County,40.7483992,-73.8795703
2449,Broadway,,Manhattan,New York County,40.7601885,-73.9843625
2450,,Forest Hills,Forest Hills,Queens County,40.7322799,-73.85181
2451,73rd Avenue,Glen Oaks,Glen Oaks,Queens County,40.7511183,-73.7160095
2452,9th Avenue,Flushing,Flushing,Queens County,40.7932103,-73.8161976
2453,62nd Drive,Forest Hills,Forest Hills,Queens County,40.736005,-73.849174
2454,Avenue H,Midwood,Midwood,Kings County,40.6288601,-73.9704912
2455,East 38th Street,,Manhattan,New York County,40.748964,-73.978301
2456,Northern Boulevard,Corona,Corona,Queens County,40.7563263,-73.8752379
2457,Palisade Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8825618,-73.9212739
2458,Madison Avenue,,Manhattan,New York County,40.7486775,-73.9819284
2459,Ditmars Boulevard,Astoria,Astoria,Queens County,40.7751901,-73.9090015
2460,East 63rd Street,,Manhattan,New York County,40.7631466,-73.9622114
2461,Woodhaven Boulevard,Jamaica,Jamaica,Queens County,40.6987743,-73.8529203
2462,Queens Boulevard,Elmhurst,Elmhurst,Queens County,40.7376925,-73.8803546
2463,94th Street,Flushing,Flushing,Queens County,40.7544847,-73.8740993
2464,Shore Drive,East Bronx,East Bronx,Bronx County,40.8214203,-73.8062717
