,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
1945,Condo for sale,759000,3,2.0,,40.596,-73.744,,13.539758373899955,2.0,Far Rockaway,Queens County
1946,Pending,699000,3,2.0,1250.0,40.617,-74.134,7.1316985104669115,13.457407451830088,2.0,Mid Island,Richmond County
1947,Multi-family home for sale,1590000,5,4.0,2880.0,40.753,-73.895,7.9658927350845286,14.279245203127035,4.0,Flushing,Queens County
1948,Co-op for sale,234900,1,1.0,753.0,40.758,-73.716,6.625392368007956,12.366919427768636,1.0,Glen Oaks,Queens County
1949,Co-op for sale,675000,2,1.0,,40.751,-73.888,,13.42246945133505,1.0,Jackson Heights,Queens County
1950,Multi-family home for sale,1500000,3,2.0,2000.0,40.722,-73.936,7.601402334583733,14.220976332738882,2.0,East Williamsburg,Kings County
1951,Multi-family home for sale,2300000,3,2.3738608579684373,21000.0,40.878,-73.882,9.952325334619427,14.648420115681892,2.0,Norwood,Bronx County
1952,Multi-family home for sale,1075000,5,4.0,2905.0,40.589,-73.802,7.974532844130228,13.887832149776026,4.0,Arverne,Queens County
1953,Multi-family home for sale,1325000,5,2.0,2208.0,40.67,-73.935,7.700295203420117,14.096923772119156,2.0,Crown Heights,Kings County
1954,Co-op for sale,525000,2,1.0,1000.0,40.639,-74.035,6.90875477931522,13.171155446333852,1.0,Bay Ridge,Kings County
1955,Co-op for sale,385000,2,2.0,,40.784,-73.775,,12.861001210669146,2.0,Flushing,Queens County
1956,Co-op for sale,199000,1,1.0,,40.777,-73.907,,12.201065128819632,1.0,Astoria,Queens County
1957,Co-op for sale,670000,2,2.0,,40.784,-73.776,,13.415034483903348,2.0,Bayside,Queens County
1958,House for sale,975000,3,2.0,,40.719,-73.761,,13.790193775620484,2.0,Jamaica,Queens County
1959,House for sale,799000,3,2.3738608579684373,,40.552,-74.144,,13.591117476312084,2.0,Great Kills,Richmond County
1960,Co-op for sale,305000,2,1.0,600.0,40.777,-73.908,6.398594934535208,12.628070334272698,1.0,Astoria,Queens County
1961,House for sale,299999,3,1.0,,40.564,-74.099,,12.611537753638338,1.0,New Dorp Beach,Richmond County
1962,House for sale,1980000,5,2.0,2652.0,40.625,-74.036,7.88344635413774,14.498607907721096,2.0,Bay Ridge,Kings County
